Year,Metric,Group,Subgroup,Order,Characteristic,Percent
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,13,    45-54 years,10.7
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,13,    45-54 years,10.3
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,13,    45-54 years,8.3
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,13,    45-54 years,8
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,9.3
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,8.7
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,9
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,8.6
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,8.8
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,8.9
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,10.1
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,10.7
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,10.4
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,10.7
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,10.7
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,13.1
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,14
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,14.6
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,13.1
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,13.3
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,13
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,11.7
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  45-64 years,14,    55-64 years,10.2
1997,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,7
1998,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,6.5
1999,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,6.7
2000,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,6.2
2001,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,7.2
2002,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,7.5
2003,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,8.9
2004,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,9.4
2005,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,10.7
2006,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,11.2
2007,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,8.9
2008,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,12.8
2009,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,13
2010,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,14.9
2011,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,14.6
2012,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,12.6
2013,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,13.8
2014,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,13.3
2015,Nonreceipt of Needed Dental Care Due to Cost,Age,  45-64 years,14,    55-64 years,12.2
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,4.2
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,4.5
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,5.2
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,5.1
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,6.2
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,7.1
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,6.9
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,7.7
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,8
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,7.6
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,7.9
2008,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,9.5
2009,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,9.6
2010,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,11
2011,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,9.8
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,8.8
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,8.8
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,8.2
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  45-64 years,14,    55-64 years,8
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,4.6
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,4
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,4.2
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,4.5
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,4
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,4.2
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,4.5
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,4.7
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,4.6
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,4.2
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,4.3
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,4.5
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,5.1
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,5
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,4.6
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,4.1
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,4.2
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,4.3
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,15,  65 years and over,4.1
1997,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,3.5
1998,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,2.7
1999,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,2.7
2000,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,3.4
2001,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,3.5
2002,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,4
2003,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,4
2004,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,5.5
2005,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,5.2
2006,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,3.9
2007,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,5
2008,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,5.6
2009,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,6.2
2010,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,6.9
2011,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,7
2012,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,6.1
2013,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,6.4
2014,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,7.2
2015,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,15,  65 years and over,7
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,2.8
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,2.3
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,2.5
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,3.9
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,3.9
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,5
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,4.4
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,5.4
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,5.1
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,3.6
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,3.8
2008,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,3.9
2009,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,4.2
2010,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,4.7
2011,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,4.3
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,3.4
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,3.4
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,3.7
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,15,  65 years and over,3.9
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,5
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,4.3
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,4.7
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,5.1
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,4.4
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,5
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,5.1
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,5.5
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,5.4
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,5
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,5.3
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,5.1
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,6
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,6.3
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,5.8
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,5.3
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,4.9
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,5.6
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,16,    65-74 years,4.9
1997,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,4.2
1998,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,3.4
1999,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,3.5
2000,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,4.6
2001,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,4.4
2002,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,4.5
2003,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,5.3
2004,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,6.7
2005,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,6.2
2006,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,4.9
2007,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,6.4
2008,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,7.4
2009,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,8
2010,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,9
2011,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,9
2012,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,7.7
2013,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,7.5
2014,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,8.3
2015,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,16,    65-74 years,7.8
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,3.4
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,2.9
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,2.8
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,4.4
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,4.6
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,6.3
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,5.5
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,6.2
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,6.4
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,3.8
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,4.5
2008,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,4.8
2009,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,5
2010,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,6.3
2011,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,5.7
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,4.6
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,4.1
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,4.7
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,16,    65-74 years,4.8
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,4.1
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,3.6
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,3.6
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,3.8
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,3.5
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,3.4
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,3.8
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,3.9
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,3.7
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,3.3
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,3.1
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,3.8
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,4
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,3.4
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,3.1
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,2.6
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,3.2
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,2.6
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,Age,  65 years and over,17,    75 years and over,3
1997,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,2.6
1998,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,2
1999,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,1.8
2000,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,1.9
2001,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,2.6
2002,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,3.3
2003,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,2.4
2004,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,4.2
2005,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,4
2006,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,2.7
2007,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,3.4
2008,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,3.6
2009,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,4.1
2010,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,4.3
2011,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,4.5
2012,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,4
2013,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,4.9
2014,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,5.6
2015,Nonreceipt of Needed Dental Care Due to Cost,Age,  65 years and over,17,    75 years and over,5.8
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,2
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,1.5
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,2.1
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,3.2
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,3.1
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,3.5
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,3.1
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,4.6
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,3.6
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,3.5
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,3
2008,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,2.8
2009,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,3.1
2010,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,2.8
2011,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,2.6
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,1.9
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,2.4
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,2.3
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,Age,  65 years and over,17,    75 years and over,2.8
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,9.3
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,8.5
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,8
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,8
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,8.5
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,8.8
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,9.7
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,10.3
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,10
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,10.8
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,10.4
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,12.2
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,14.1
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,13.5
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,12.9
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,12.1
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,11.2
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,10.1
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Sex, 18-64 Years",,18,Male,8.9
1997,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,8.8
1998,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,8
1999,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,7.8
2000,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,8.2
2001,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,8.5
2002,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,9.2
2003,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,9.8
2004,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,11.4
2005,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,10.8
2006,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,11.8
2007,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,11.3
2008,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,13.9
2009,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,14.6
2010,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,15.2
2011,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,14.5
2012,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,12.6
2013,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,12.3
2014,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,10.5
2015,Nonreceipt of Needed Dental Care Due to Cost,"Sex, 18-64 Years",,18,Male,10
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,"Sex, 18-64 Years",,18,Male,5.1
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,"Sex, 18-64 Years",,18,Male,4.3
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,"Sex, 18-64 Years",,18,Male,3.9
